date,close,open,high,low,volume,change
2016-05-18,174.00,176.00,176.00,173.00,35930,-2.00 (-1.14 %)
2016-05-19,172.00,173.00,173.00,172.00,49200,-2.00 (-1.15 %)
2016-05-20,172.00,172.00,172.00,171.00,30090,0.00 (0.00 %)
2016-05-23,173.00,172.00,173.00,170.00,53880,1.00 (0.58 %)
2016-05-24,175.00,174.00,177.00,174.00,138610,2.00 (1.16 %)
2016-05-25,177.00,176.00,177.00,175.00,92490,2.00 (1.14 %)
2016-05-26,175.00,177.00,177.00,174.00,35460,-2.00 (-1.13 %)
2016-05-27,175.00,174.00,176.00,174.00,63800,0.00 (0.00 %)
2016-05-30,173.00,174.00,174.00,173.00,68900,-2.00 (-1.14 %)
2016-05-31,176.00,175.00,176.00,172.00,61090,3.00 (1.73 %)
2016-06-01,178.00,176.00,178.00,174.00,101050,2.00 (1.14 %)
2016-06-02,177.00,178.00,178.00,176.00,62060,-1.00 (-0.56 %)
2016-06-03,179.00,177.00,179.00,176.00,60780,2.00 (1.13 %)
2016-06-06,178.00,179.00,180.00,177.00,93890,-1.00 (-0.56 %)
2016-06-07,180.00,178.00,180.00,178.00,36670,2.00 (1.12 %)
2016-06-08,189.00,178.00,189.00,177.00,219610,9.00 (5.00 %)
2016-06-09,186.00,189.00,189.00,186.00,57360,-3.00 (-1.59 %)
2016-06-10,187.00,187.00,188.00,186.00,38010,1.00 (0.54 %)
2016-06-13,182.00,185.00,186.00,181.00,109540,-5.00 (-2.67 %)
2016-06-14,184.00,182.00,184.00,181.00,54330,2.00 (1.10 %)
2016-06-15,192.00,184.00,193.00,183.00,125270,8.00 (4.35 %)
2016-06-16,196.00,195.00,200.00,195.00,167410,4.00 (2.08 %)
2016-06-17,195.00,196.00,196.00,193.00,64950,-1.00 (-0.51 %)
2016-06-20,200.00,197.00,200.00,197.00,81910,5.00 (2.56 %)
2016-06-21,197.00,201.00,203.00,197.00,131790,-3.00 (-1.50 %)
2016-06-22,198.00,197.00,199.00,197.00,37750,1.00 (0.51 %)
2016-06-23,200.00,198.00,200.00,197.00,62580,2.00 (1.01 %)
2016-06-24,195.00,199.00,199.00,186.00,239210,-5.00 (-2.50 %)
2016-06-27,189.00,193.00,193.00,187.00,188600,-6.00 (-3.08 %)
2016-06-28,193.00,190.00,193.00,190.00,49820,4.00 (2.12 %)
2016-06-29,195.00,195.00,197.00,194.00,78460,2.00 (1.04 %)
2016-06-30,193.00,195.00,197.00,193.00,57980,-2.00 (-1.03 %)
2016-07-01,196.00,194.00,197.00,194.00,55020,3.00 (1.55 %)
2016-07-04,195.00,197.00,197.00,195.00,62090,-1.00 (-0.51 %)
2016-07-05,201.00,196.00,202.00,196.00,238080,6.00 (3.08 %)
2016-07-06,204.00,200.00,204.00,199.00,138880,3.00 (1.49 %)
2016-07-07,210.00,205.00,210.00,204.00,131630,6.00 (2.94 %)
2016-07-08,210.00,210.00,211.00,207.00,66240,0.00 (0.00 %)
2016-07-11,206.00,210.00,210.00,202.00,135050,-4.00 (-1.90 %)
2016-07-12,208.00,207.00,208.00,203.00,61800,2.00 (0.97 %)
2016-07-13,212.00,208.00,212.00,208.00,107150,4.00 (1.92 %)
2016-07-14,215.00,212.00,217.00,210.00,127120,3.00 (1.42 %)
2016-07-15,213.00,215.00,215.00,208.00,67140,-2.00 (-0.93 %)
2016-07-18,218.00,213.00,218.00,213.00,69890,5.00 (2.35 %)
2016-07-19,217.00,218.00,222.00,214.00,136790,-1.00 (-0.46 %)
2016-07-20,220.00,219.00,222.00,217.00,97600,3.00 (1.38 %)
2016-07-21,225.00,234.00,234.00,224.00,202830,5.00 (2.27 %)
2016-07-22,224.00,225.00,225.00,218.00,84780,-1.00 (-0.44 %)
2016-07-25,222.00,224.00,225.00,222.00,66470,-2.00 (-0.89 %)
2016-07-26,222.00,222.00,222.00,218.00,82170,0.00 (0.00 %)
2016-07-27,225.00,225.00,225.00,220.00,48300,3.00 (1.35 %)
2016-07-28,225.00,226.00,227.00,224.00,72860,0.00 (0.00 %)
2016-07-29,222.00,225.00,226.00,222.00,65460,-3.00 (-1.33 %)
