ID,Action,Date,InvestingAmount,Price,Profit,Stock,TradeFee,Value,Volume
2020-01-03-PLX,Buy,2020-01-03,24275.725,57.1,0.0,PLX,14.275,5710.0,100.0
2020-01-03-MBB,Buy,2020-01-03,22145.413,21.25,0.0,MBB,5.312,2125.0,100.0
2020-01-06-MBB,Sell,2020-01-06,24235.175,20.95,-40.476,MBB,5.2379999999999995,2095.0,100.0
2020-01-06-SSI,Buy,2020-01-06,22410.625,18.2,0.0,SSI,4.55,1820.0,100.0
2020-01-06-STB,Buy,2020-01-06,21403.112999999998,10.05,0.0,STB,2.512,1005.0,100.0
2020-01-06-HAG,Buy,2020-01-06,20993.091,4.09,0.0,HAG,1.022,409.0,100.0
2020-01-07-SSI,Sell,2020-01-07,22813.529,18.25,-4.124,SSI,4.562,1825.0,100.0
2020-01-07-STB,Sell,2020-01-07,23825.991,10.15,4.924,STB,2.5380000000000003,1015.0,100.0
2020-01-07-HAG,Sell,2020-01-07,24235.963,4.11,-0.056,HAG,1.028,411.00000000000006,100.0
2020-01-08-PLX,Sell,2020-01-08,29792.037999999997,55.7,-167.85,PLX,13.925,5570.0,100.0
2020-01-13-MBB,Buy,2020-01-13,27656.713,21.3,0.0,MBB,5.325,2130.0,100.0
2020-01-13-HPG,Buy,2020-01-13,25225.651,24.25,0.0,HPG,6.062,2425.0,100.0
2020-01-13-HDB,Buy,2020-01-13,22428.676,27.9,0.0,HDB,6.975,2790.0,100.0
2020-01-13-PNJ,Buy,2020-01-13,13506.426,89.0,0.0,PNJ,22.25,8900.0,100.0
2020-01-13-STB,Buy,2020-01-13,12463.826,10.4,0.0,STB,2.6,1040.0,100.0
2020-01-13-EIB,Buy,2020-01-13,10659.326,18.0,0.0,EIB,4.5,1800.0,100.0
2020-01-13-MBB,Sell,2020-01-13,12784.001,21.3,-10.65,MBB,5.325,2130.0,100.0
2020-01-14-VIC,Buy,2020-01-14,1255.251,115.0,0.0,VIC,28.75,11500.0,100.0
2020-01-14-TPB,Buy,2020-01-14,167.53900000000004,21.7,0.0,TPB,2.7119999999999997,1085.0,50.0
2020-01-15-STB,Sell,2020-01-15,1189.977,10.25,-20.124,STB,2.562,1025.0,100.0
2020-01-16-VIC,Sell,2020-01-16,12661.226999999999,115.0,-57.5,VIC,28.75,11500.0,100.0
2020-01-16-TPB,Sell,2020-01-16,13753.489,21.9,4.524,TPB,2.738,1095.0,50.0
2020-01-16-HDB,Sell,2020-01-16,16611.326,28.65,60.674,HDB,7.162999999999999,2865.0,100.0
2020-01-16-EIB,Sell,2020-01-16,18361.938000000002,17.55,-53.776,EIB,4.388,1755.0,100.0
2020-01-16-MSN,Buy,2020-01-16,12727.888,56.2,0.0,MSN,14.05,5620.0,100.0
2020-01-17-MSN,Sell,2020-01-17,18214.138,55.0,-147.5,MSN,13.75,5500.0,100.0
2020-01-17-REE,Buy,2020-01-17,14555.013,36.5,0.0,REE,9.125,3650.0,100.0
2020-01-17-TCB,Buy,2020-01-17,12209.163,23.4,0.0,TCB,5.85,2340.0,100.0
2020-01-17-NVL,Buy,2020-01-17,6595.163000000001,56.0,0.0,NVL,14.0,5600.0,100.0
2020-01-20-HPG,Sell,2020-01-20,9138.788,25.5,112.25,HPG,6.375,2550.0,100.0
2020-01-20-MWG,Buy,2020-01-20,3193.9629999999997,118.6,0.0,MWG,14.825,5930.0,50.0
2020-01-20-CTD,Buy,2020-01-20,512.275,53.5,0.0,CTD,6.688,2675.0,50.0
2020-01-22-NVL,Sell,2020-01-22,6098.275,56.0,-28.0,NVL,14.0,5600.0,100.0
2020-01-30-BVH,Buy,2020-01-30,2935.387,63.1,0.0,BVH,7.888,3155.0,50.0
2020-01-30-HAG,Buy,2020-01-30,2544.4120000000007,3.9,0.0,HAG,0.975,390.0,100.0
2020-01-31-BVH,Sell,2020-01-31,5477.062,58.8,-229.7,BVH,7.35,2940.0,50.0
2020-01-31-REE,Sell,2020-01-31,8858.587,33.9,-276.95,REE,8.475,3390.0,100.0
2020-01-31-MWG,Sell,2020-01-31,14384.737,110.8,-417.7,MWG,13.85,5540.0,50.0
2020-01-31-CTD,Sell,2020-01-31,17162.775,55.7,96.076,CTD,6.9620000000000015,2785.0,50.0
2020-01-31-TCB,Sell,2020-01-31,19317.375,21.6,-190.8,TCB,5.4,2160.0,100.0
2020-01-31-PNJ,Sell,2020-01-31,27726.3,84.3,-512.15,PNJ,21.075,8430.0,100.0
2020-01-31-HAG,Sell,2020-01-31,28089.39,3.64,-27.82,HAG,0.91,364.0,100.0
2020-01-31-POW,Buy,2020-01-31,27036.765,10.5,0.0,POW,2.625,1050.0,100.0
2020-02-03-POW,Sell,2020-02-03,28033.267000000003,9.99,-55.996,POW,2.498,999.0,100.0
